Search_method Problem Max_evals Run Score
jp knapPI_13_200_1000_4 10000 1 3637
jp knapPI_13_200_1000_4 10000 2 3637
jp knapPI_13_200_1000_4 10000 3 3637
jp knapPI_13_200_1000_4 10000 4 3663
jp knapPI_13_200_1000_4 10000 5 3637
jp knapPI_13_200_1000_4 10000 6 3663
jp knapPI_13_200_1000_4 10000 7 3663
jp knapPI_13_200_1000_4 10000 8 3663
jp knapPI_13_200_1000_4 10000 9 3663
jp knapPI_13_200_1000_4 10000 10 3654
jp knapPI_13_200_1000_4 10000 11 3663
jp knapPI_13_200_1000_4 10000 12 3663
jp knapPI_13_200_1000_4 10000 13 3663
jp knapPI_13_200_1000_4 10000 14 3637
jp knapPI_13_200_1000_4 10000 15 3637
jp knapPI_13_200_1000_4 10000 16 3663
jp knapPI_13_200_1000_4 10000 17 3663
jp knapPI_13_200_1000_4 10000 18 3663
jp knapPI_13_200_1000_4 10000 19 3637
jp knapPI_13_200_1000_4 10000 20 3637
jp knapPI_13_200_1000_4 10000 21 3663
jp knapPI_13_200_1000_4 10000 22 3663
jp knapPI_13_200_1000_4 10000 23 3637
jp knapPI_13_200_1000_4 10000 24 3663
jp knapPI_13_200_1000_4 10000 25 3663
jp knapPI_13_200_1000_4 10000 26 3663
jp knapPI_13_200_1000_4 10000 27 3663
jp knapPI_13_200_1000_4 10000 28 3654
jp knapPI_13_200_1000_4 10000 29 3637
jp knapPI_16_200_1000_4 10000 0 13084
jp knapPI_16_200_1000_4 10000 1 12761
jp knapPI_16_200_1000_4 10000 2 12477
jp knapPI_16_200_1000_4 10000 3 13642
jp knapPI_16_200_1000_4 10000 4 13398
jp knapPI_16_200_1000_4 10000 5 13648
jp knapPI_16_200_1000_4 10000 6 13503
jp knapPI_16_200_1000_4 10000 7 13265
jp knapPI_16_200_1000_4 10000 8 13767
jp knapPI_16_200_1000_4 10000 9 13355
jp knapPI_16_200_1000_4 10000 10 13873
jp knapPI_16_200_1000_4 10000 11 12682
jp knapPI_16_200_1000_4 10000 12 13704
jp knapPI_16_200_1000_4 10000 13 13610
jp knapPI_16_200_1000_4 10000 14 14100
jp knapPI_16_200_1000_4 10000 15 13342
jp knapPI_16_200_1000_4 10000 16 13030
jp knapPI_16_200_1000_4 10000 17 13556
jp knapPI_16_200_1000_4 10000 18 13607
jp knapPI_16_200_1000_4 10000 19 13223
jp knapPI_16_200_1000_4 10000 20 14185
jp knapPI_16_200_1000_4 10000 21 13677
jp knapPI_16_200_1000_4 10000 22 13160
jp knapPI_16_200_1000_4 10000 23 13778
jp knapPI_16_200_1000_4 10000 24 13966
jp knapPI_16_200_1000_4 10000 25 13669
jp knapPI_16_200_1000_4 10000 26 14040
jp knapPI_16_200_1000_4 10000 27 13166
jp knapPI_16_200_1000_4 10000 28 12760
jp knapPI_16_200_1000_4 10000 29 12454
jc knapPI_11_20_1000_4 10000 0 1400
jc knapPI_11_20_1000_4 10000 1 1440
jc knapPI_11_20_1000_4 10000 2 1440
jc knapPI_11_20_1000_4 10000 3 1400
jc knapPI_11_20_1000_4 10000 4 1400
jc knapPI_11_20_1000_4 10000 5 1400
jc knapPI_11_20_1000_4 10000 6 1440
jc knapPI_11_20_1000_4 10000 7 1400
jc knapPI_11_20_1000_4 10000 8 1400
jc knapPI_11_20_1000_4 10000 9 1400
jc knapPI_11_20_1000_4 10000 10 1400
jc knapPI_11_20_1000_4 10000 11 1400
jc knapPI_11_20_1000_4 10000 12 1400
jc knapPI_11_20_1000_4 10000 13 1400
jc knapPI_11_20_1000_4 10000 14 1440
jc knapPI_11_20_1000_4 10000 15 1400
jc knapPI_11_20_1000_4 10000 16 1440
jc knapPI_11_20_1000_4 10000 17 1320
jc knapPI_11_20_1000_4 10000 18 1320
